service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ABR_Dissabtes,0,0,0,0,0,1,0,20241224,20251231
ABR_Diumenges,0,0,0,0,0,0,1,20241224,20251231
ABR_Laborables,1,1,1,1,1,0,0,20241227,20251231
ABR_Laborables escolar,1,1,1,1,1,0,0,20250107,20250630
ABR_Laborables escolar 2,1,1,1,1,1,0,0,20250901,20251231
ABR_Laborables estiu,1,1,1,1,1,0,0,20250701,20250830
ABR_diumenges estiu,0,0,0,0,0,0,1,20250701,20250831
ALS_000007200000111400000009,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000111400000010,1,1,1,1,1,0,0,20250908,20251219
ALS_000007200000111400000012,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000111500000007,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000111500000012,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000111500000013,1,1,1,1,1,0,0,20250908,20251219
ALS_000007200000115600000002,1,1,1,1,1,1,0,20250101,20270101
ALS_000007200000115600000003,1,1,1,1,1,1,0,20250101,20270101
ALS_000007200000115600000005,1,1,1,1,1,0,0,20250908,20251219
ALS_000007200000115700000002,1,1,1,1,1,1,0,20250101,20270101
ALS_000007200000115700000003,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000115700000005,1,1,1,1,1,0,0,20250908,20251219
ALS_000007200000204300000001,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000204300000002,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000204300000003,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000204300000004,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000204300000005,1,1,1,1,1,1,1,20250101,20270101
ALS_000007200000204300000006,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000204300000007,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000204300000008,1,1,1,1,1,1,0,20250101,20270101
ALS_000007200000204300000009,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000204300000010,1,1,1,1,1,0,0,20250908,20251219
ALS_000007200000204300000011,1,1,1,1,1,0,0,20250101,20270101
ALS_000007200000204300000012,1,1,1,1,1,0,0,20250101,20270101
