from_stop_id,to_stop_id,transfer_type,min_transfer_time
AMB_201381,AMB_201381,0,0
FGC_EU,TMB_1.913,2,173
FGC_GO,ROD_71708,2,220
FGC_IC,TMB_1.958,2,361
FGC_LH,TMB_1.113,2,74
FGC_PC,ROD_78805,2,286
FGC_PC,TMB_1.126,2,274
FGC_PC,TMB_1.326,2,156
FGC_PE,TMB_1.122,2,136
FGC_PE,TMB_1.321,2,231
FGC_PR,TMB_1.328,2,323
FGC_PR,TMB_1.521,2,148
ROD_71707,TMB_1.907,2,207
ROD_71708,FGC_GO,2,220
ROD_71801,TMB_1.319,2,346
ROD_71801,TMB_1.518,2,204
ROD_71802,TMB_1.213,2,427
ROD_71802,TMB_1.327,2,105
ROD_71802,TMB_1.425,2,386
ROD_72303,TMB_1.509,2,155
ROD_72400,TMB_1.903,2,120
ROD_78801,TMB_1.1138,2,352
ROD_78802,TMB_1.134,2,167
ROD_78804,TMB_1.128,2,104
ROD_78805,FGC_PC,2,286
ROD_78805,TMB_1.126,2,109
ROD_78805,TMB_1.326,2,212
ROD_78806,TMB_1.133,2,76
ROD_78806,TMB_1.526,2,99
ROD_78806,TMB_1.930,2,347
ROD_79004,TMB_1.135,2,269
ROD_79009,TMB_1.131,2,167
ROD_79009,TMB_1.218,2,245
TMB_1.1136,TMB_1.339,2,120
TMB_1.1136,TMB_1.434,2,120
TMB_1.1138,ROD_78801,2,352
TMB_1.113,FGC_LH,2,74
TMB_1.117,TMB_1.915,2,45
TMB_1.120,TMB_1.517,2,210
TMB_1.122,FGC_PE,2,136
TMB_1.122,TMB_1.321,2,180
TMB_1.125,TMB_1.212,2,45
TMB_1.126,FGC_PC,2,274
TMB_1.126,ROD_78805,2,109
TMB_1.126,TMB_1.326,2,45
TMB_1.127,TMB_1.424,2,90
TMB_1.128,ROD_78804,2,104
TMB_1.131,ROD_79009,2,167
TMB_1.131,TMB_1.218,2,45
TMB_1.133,ROD_78806,2,76
TMB_1.133,TMB_1.526,2,45
TMB_1.133,TMB_1.930,2,150
TMB_1.134,ROD_78802,2,167
TMB_1.135,ROD_79004,2,269
TMB_1.140,TMB_1.942,2,45
TMB_1.210,TMB_1.323,2,15
TMB_1.210,TMB_1.9901,2,60
TMB_1.212,TMB_1.125,2,45
TMB_1.213,ROD_71802,2,427
TMB_1.213,TMB_1.327,2,300
TMB_1.213,TMB_1.425,2,60
TMB_1.216,TMB_1.523,2,45
TMB_1.218,ROD_79009,2,245
TMB_1.218,TMB_1.131,2,45
TMB_1.221,TMB_1.413,2,45
TMB_1.225,TMB_1.936,2,45
TMB_1.314,TMB_1.918,2,45
TMB_1.319,ROD_71801,2,346
TMB_1.319,TMB_1.518,2,45
TMB_1.321,FGC_PE,2,231
TMB_1.321,TMB_1.122,2,180
TMB_1.323,TMB_1.210,2,15
TMB_1.323,TMB_1.9901,2,60
TMB_1.326,FGC_PC,2,156
TMB_1.326,ROD_78805,2,212
TMB_1.326,TMB_1.126,2,45
TMB_1.327,ROD_71802,2,105
TMB_1.327,TMB_1.213,2,300
TMB_1.327,TMB_1.425,2,300
TMB_1.328,FGC_PR,2,323
TMB_1.328,TMB_1.521,2,120
TMB_1.333,TMB_1.534,2,45
TMB_1.339,TMB_1.1136,2,120
TMB_1.339,TMB_1.434,2,120
TMB_1.413,TMB_1.221,2,45
TMB_1.424,TMB_1.127,2,90
TMB_1.425,ROD_71802,2,386
TMB_1.425,TMB_1.213,2,60
TMB_1.425,TMB_1.327,2,300
TMB_1.427,TMB_1.522,2,45
TMB_1.431,TMB_1.528,2,150
TMB_1.434,TMB_1.1136,2,120
TMB_1.434,TMB_1.339,2,120
TMB_1.509,ROD_72303,2,155
TMB_1.515,TMB_1.916,2,120
TMB_1.517,TMB_1.120,2,210
TMB_1.518,ROD_71801,2,204
TMB_1.518,TMB_1.319,2,45
TMB_1.521,FGC_PR,2,148
TMB_1.521,TMB_1.328,2,120
TMB_1.522,TMB_1.427,2,45
TMB_1.523,TMB_1.216,2,45
TMB_1.526,ROD_78806,2,99
TMB_1.526,TMB_1.133,2,45
TMB_1.526,TMB_1.930,2,90
TMB_1.528,TMB_1.431,2,150
TMB_1.534,TMB_1.333,2,45
TMB_1.903,ROD_72400,2,120
TMB_1.907,ROD_71707,2,207
TMB_1.913,FGC_EU,2,173
TMB_1.915,TMB_1.117,2,45
TMB_1.916,TMB_1.515,2,120
TMB_1.918,TMB_1.314,2,45
TMB_1.930,ROD_78806,2,347
TMB_1.930,TMB_1.133,2,150
TMB_1.930,TMB_1.526,2,90
TMB_1.936,TMB_1.225,2,45
TMB_1.942,TMB_1.140,2,45
TMB_1.958,FGC_IC,2,361
TMB_1.9901,TMB_1.210,2,60
TMB_1.9901,TMB_1.323,2,60
